1947,83,234.289,235.6,155,107.608,60.323,1947
1948,88.5,259.426,232.5,145.6,108.632,61.122,1948
1949,88.2,258.054,368.2,161.6,109.773,60.171,1949
1950,89.5,284.599,335.1,165,111,61,1950
1951,96.2,328.975,209.9,309.9,112,63,1951
1952,98.1,346.999,193.2,359.4,113,63,1952
1953,99,365.385,187,354.7,115,64,1953
1954,100,363.112,357.8,335,116,63,1954
1955,101.2,397.469,290.4,304.8,117,66,1955
1956,104.6,419.18,282.2,285.7,118,67,1956
1957,108.4,442.769,293.6,279.8,120,68,1957
1958,110.8,444.546,468.1,263.7,121,66,1958
1959,112.6,482.704,381.3,255.2,123,68,1959
1960,114.2,502.601,393.1,251.4,125,69,1960
1961,115.7,518.173,480.6,257.2,127,69,1961
1962,116.9,554.894,400.7,282.7,130,70,1962
